SITE_ID,VISIT_NO,TAXANAME,ABUND,GENUS_CNT,SPECIES_CNT
NLA06608-0004,2,Keratella cceo,119,Keratella,cceo
NLA06608-0004,2,Polyarthra,13,Polyarthra,NA
NLA06608-0004,2,Pompholyx,7,Pompholyx,NA
NLA06608-0004,2,Trichocerca,3,Trichocerca,NA
NLA06608-0004,2,Asplanchna,3,Asplanchna,NA
NLA06608-0004,2,Brachionus caudatus,94,Brachionus,caudatus
NLA06608-0004,2,Conochilidae,29,NA,NA
NLA06608-0004,2,Filinia,8,Filinia,NA
NLA06608-0004,2,Hexarthra,9,Hexarthra,NA
NLA06608-0004,2,Keratella,120,Keratella,NA
NLA06608-0004,2,Polyarthra,13,Polyarthra,NA
NLA06608-0004,2,Pompholyx,16,Pompholyx,NA
NLA06608-0004,2,Synchaeta,8,Synchaeta,NA
NLA06608-0004,2,Trichocerca,3,Trichocerca,NA
NLA06608-0005,1,UNID,1,NA,NA
NLA06608-0005,1,Chironomidae,1,NA,NA
NLA06608-0005,1,Chydoridae,1,NA,NA
NLA06608-0005,1,Cyclopidae,21,NA,NA
NLA06608-0005,1,Daphnia mendotae complex,283,Daphnia,mendotae
NLA06608-0005,1,Kellicottia longispina,1,Kellicottia,longispina
NLA06608-0005,1,Keratella cceo,1,Keratella,cceo
NLA06608-0005,1,Ploesoma,23,Ploesoma,NA
NLA06608-0005,1,Polyarthra,3,Polyarthra,NA
NLA06608-0005,1,Synchaeta,8,Synchaeta,NA
NLA06608-0005,2,Cyclopidae,5,Microcyclops,NA
NLA06608-0005,2,Daphnia,77,Daphnia,NA
NLA06608-0005,2,Polyphemus,1,Polyphemus,pediculus
NLA06608-0005,2,Bosmina,1,Bosmina,NA
NLA06608-0005,2,Chydoridae,3,NA,NA
NLA06608-0005,2,Cyclopidae,3,Microcyclops,NA
NLA06608-0005,2,Daphnia,222,Daphnia,NA
NLA06608-0005,2,Kellicottia longispina,7,Kellicottia,longispina
NLA06608-0005,2,Keratella cceo,2,Keratella,cceo
NLA06608-0005,2,Ploesoma,25,Ploesoma,NA
NLA06608-0005,2,Synchaeta,136,Synchaeta,NA
NLA06608-0005,2,Hexarthra,1,Hexarthra,NA
NLA06608-0005,2,Kellicottia longispina,13,Kellicottia,longispina
NLA06608-0005,2,Keratella cceo,3,Keratella,cceo
NLA06608-0005,2,Ploesoma,3,Ploesoma,NA
NLA06608-0005,2,Synchaeta,23,Synchaeta,NA
NLA06608-0006,2,Bosmina,3,Bosmina,longirostris
NLA06608-0006,2,Ceriodaphnia,9,Ceriodaphnia,NA
NLA06608-0006,2,Chaoborus punctipennis,1,Chaoborus,punctipennis
NLA06608-0006,2,Cyclopidae,38,Mesocyclops,edax
NLA06608-0006,2,Cyclopidae,68,Diacyclops,thomasi
NLA06608-0006,2,Cyclopidae,16,NA,NA
NLA06608-0006,2,Cyclopidae,17,NA,NA
NLA06608-0006,2,Daphnia catawba/pulex complex,172,Daphnia,pulex
NLA06608-0006,2,Daphnia mendotae complex,2,Daphnia,mendotae
NLA06608-0006,2,Diaptomidae,29,NA,NA
NLA06608-0006,2,Sida,3,Sida,crystallina
NLA06608-0006,2,Asplanchna,8,Asplanchna,NA
NLA06608-0006,2,Conochilidae,24,NA,NA
NLA06608-0006,2,Filinia,6,Filinia,NA
NLA06608-0006,2,Hexarthra,14,Hexarthra,NA
NLA06608-0006,2,Kellicottia longispina,17,Kellicottia,longispina
NLA06608-0006,2,Keratella cceo,86,Keratella,cceo
NLA06608-0006,2,Synchaeta,13,Synchaeta,NA
NLA06608-0006,2,Trichocerca,51,Trichocerca,NA
NLA06608-0007,1,Asplanchna,2,Asplanchna,NA
NLA06608-0007,1,Calanoida,17,NA,NA
NLA06608-0007,1,Chaoborus flavicans/punctipennis,0,Chaoborus,punctipennis flavicans
NLA06608-0007,1,Chydoridae,5,Chydorus,sphaericus
NLA06608-0007,1,Cyclopidae,32,Acanthocyclops,NA
NLA06608-0007,1,Cyclopidae,9,Mesocyclops,NA
NLA06608-0007,1,Cyclopidae,36,NA,NA
NLA06608-0007,1,Daphnia catawba/pulex complex,8,Daphnia,pulex
NLA06608-0007,1,Daphnia mendotae complex,47,Daphnia,galeata mendotae
NLA06608-0007,1,Diaphanosoma,8,Diaphanosoma,NA
NLA06608-0007,1,Diaptomidae,2,Skistodiaptomus,NA
NLA06608-0007,1,Holopedium gibberum,55,Holopedium,gibberum
NLA06608-0007,1,Collotheca,132,Collotheca,NA
NLA06608-0007,1,Conochilidae,93,NA,NA
NLA06608-0007,1,Filinia,8,Filinia,NA
NLA06608-0007,1,Gastropus,2,Gastropus,NA
NLA06608-0007,1,Hexarthra,11,Hexarthra,NA
NLA06608-0007,1,Kellicottia longispina,5,Kellicottia,longispina
NLA06608-0007,1,Keratella cceo,4,Keratella,cceo
NLA06608-0007,1,Keratella cceo,28,Keratella,cceo
NLA06608-0007,1,Lecanidae,1,Lecane,NA
NLA06608-0007,1,Ploesoma,9,Ploesoma,NA
NLA06608-0007,1,Polyarthra,12,Polyarthra,NA
NLA06608-0007,1,Rotifera,1,NA,NA
NLA06608-0007,1,Trichocerca,26,Trichocerca,NA
NLA06608-0007,2,Calanoida,4,NA,NA
NLA06608-0007,2,Chaoborus flavicans/punctipennis,0,Chaoborus,punctipennis flavicans
NLA06608-0007,2,Cyclopidae,13,Diacyclops,NA
NLA06608-0007,2,Cyclopidae,1,Eucyclops,NA
NLA06608-0007,2,Cyclopidae,28,Mesocyclops,NA
NLA06608-0007,2,Cyclopidae,8,NA,NA
NLA06608-0007,2,Daphnia catawba/pulex complex,15,Daphnia,pulex
NLA06608-0007,2,Daphnia mendotae complex,176,Daphnia,galeata mendotae
NLA06608-0007,2,Daphnia parvula,1,Daphnia,parvula
NLA06608-0007,2,Diaptomidae,6,Skistodiaptomus,NA
NLA06608-0007,2,Holopedium gibberum,1,Holopedium,gibberum
NLA06608-0007,2,Acari,2,NA,NA
NLA06608-0007,2,Collotheca,73,Collotheca,NA
NLA06608-0007,2,Gastropus,2,Gastropus,NA
NLA06608-0007,2,Kellicottia bostoniensis,2,Kellicottia,bostoniensis
NLA06608-0007,2,Kellicottia longispina,30,Kellicottia,longispina
NLA06608-0007,2,Keratella cceo,7,Keratella,cceo
NLA06608-0007,2,Keratella cceo,12,Keratella,cceo
NLA06608-0007,2,Keratella cceo,129,Keratella,cceo
NLA06608-0007,2,Keratella hiemalis,1,Keratella,hiemalis
NLA06608-0007,2,Polyarthra,5,Polyarthra,NA
NLA06608-0007,2,Pompholyx,12,Pompholyx,NA
NLA06608-0007,2,Rotifera,3,NA,NA
NLA06608-0007,2,Trichocerca,2,Trichocerca,NA
NLA06608-0008,1,UNID,13,NA,NA
NLA06608-0008,1,Ceriodaphnia,6,Ceriodaphnia,NA
NLA06608-0008,1,Chaoborus punctipennis,10,Chaoborus,punctipennis
NLA06608-0008,1,Cyclopidae,67,Mesocyclops,NA
NLA06608-0008,1,Cyclopidae,57,NA,NA
NLA06608-0008,1,Daphnia mendotae complex,112,Daphnia,mendotae
NLA06608-0008,1,Daphnia parvula,31,Daphnia,parvula
NLA06608-0008,1,Diaphanosoma,1,Diaphanosoma,NA
NLA06608-0008,1,Diaptomidae,40,NA,NA
NLA06608-0008,1,Asplanchna,1,Asplanchna,NA
NLA06608-0008,1,Brachionus angularis,124,Brachionus,angularis
NLA06608-0008,1,Brachionus havanaensis,21,Brachionus,havanaensis
NLA06608-0008,1,Chaoborus,0,Chaoborus,NA
NLA06608-0008,1,Conochilidae,5,NA,NA
NLA06608-0008,1,Keratella cceo,30,Keratella,cceo
NLA06608-0008,1,Leptodora,0,Leptodora,kindtii
NLA06608-0008,1,Polyarthra,7,Polyarthra,NA
NLA06608-0008,1,Trichocerca,1,Trichocerca,similis
NLA06608-0008,1,Trichocerca,4,Trichocerca,NA
NLA06608-0008,2,UNID,50,NA,NA
NLA06608-0008,2,Chaoborus punctipennis,28,Chaoborus,punctipennis
NLA06608-0008,2,Cyclopidae,21,NA,NA
NLA06608-0008,2,Diaphanosoma,21,Diaphanosoma,NA
NLA06608-0008,2,Diaptomidae,7,NA,NA
NLA06608-0008,2,Moina,11,Moina,NA
NLA06608-0008,2,Brachionus angularis,126,Brachionus,angularis
NLA06608-0008,2,Brachionus caudatus,28,Brachionus,caudatus
NLA06608-0008,2,Brachionus havanaensis,35,Brachionus,havanaensis
NLA06608-0008,2,Chaoborus punctipennis,0,Chaoborus,punctipennis
NLA06608-0008,2,Conochilidae,10,NA,NA
NLA06608-0008,2,Euchlanis,7,Euchlanis,NA
NLA06608-0008,2,Filinia,1,Filinia,NA
NLA06608-0008,2,Lecanidae,2,Monostyla,NA
NLA06608-0008,2,Polyarthra,3,Polyarthra,NA
NLA06608-0008,2,Trichocerca,30,Trichocerca,NA
NLA06608-0010,1,UNID,2,NA,NA
NLA06608-0010,1,Cyclopidae,12,Mesocyclops,NA
NLA06608-0010,1,Cyclopidae,21,NA,NA
NLA06608-0010,1,Daphnia catawba/pulex complex,27,Daphnia,pulex
NLA06608-0010,1,Daphnia mendotae complex,78,Daphnia,mendotae
NLA06608-0010,1,Daphnia retrocurva,52,Daphnia,retrocurva
NLA06608-0010,1,Diaptomidae,31,NA,NA
NLA06608-0010,1,Eubosmina,4,Eubosmina,NA
NLA06608-0010,1,Anuraeopsis,2,Anuraeopsis,fissa
NLA06608-0010,1,Asplanchna,2,Asplanchna,NA
NLA06608-0010,1,Conochilidae,1,NA,NA
NLA06608-0010,1,Dreissena bugensis,2,Dreissena,bugensis
NLA06608-0010,1,Dreissena polymorpha,3,Dreissena,polymorpha
NLA06608-0010,1,Filinia,88,Filinia,NA
NLA06608-0010,1,Kellicottia bostoniensis,51,Kellicottia,bostonensis
NLA06608-0010,1,Kellicottia longispina,7,Kellicottia,longispina
NLA06608-0010,1,Keratella cceo,26,Keratella,cceo
NLA06608-0010,1,Keratella cceo,9,Keratella,cceo
NLA06608-0010,1,Polyarthra,10,Polyarthra,NA
NLA06608-0010,1,Pompholyx,12,Pompholyx,sulcata
NLA06608-0010,1,Testudinella,1,Testudinella,NA
NLA06608-0010,1,Trichocerca,1,Trichocerca,NA
NLA06608-0010,2,Ceriodaphnia,4,Ceriodaphnia,NA
NLA06608-0010,2,Chaoborus punctipennis,1,Chaoborus,punctipennis
NLA06608-0010,2,Cyclopidae,12,Mesocyclops,NA
NLA06608-0010,2,Daphnia mendotae complex,34,Daphnia,mendotae
NLA06608-0010,2,Daphnia retrocurva,92,Daphnia,retrocurva
NLA06608-0010,2,Diaphanosoma,48,Diaphanosoma,NA
NLA06608-0010,2,Diaptomidae,42,NA,NA
NLA06608-0010,2,Ergasilus,3,Ergasilus,NA
NLA06608-0010,2,Eubosmina,1,Eubosmina,NA
NLA06608-0010,2,UNID,1,NA,NA
NLA06608-0010,2,Ceriodaphnia,14,Ceriodaphnia,NA
NLA06608-0010,2,Cyclopidae,5,Mesocyclops,NA
NLA06608-0010,2,Cyclopidae,20,NA,NA
NLA06608-0010,2,Daphnia mendotae complex,32,Daphnia,mendotae
NLA06608-0010,2,Daphnia retrocurva,67,Daphnia,retrocurva
NLA06608-0010,2,Diaphanosoma,42,Diaphanosoma,NA
NLA06608-0010,2,Diaptomidae,70,NA,NA
NLA06608-0010,2,Asplanchna,2,Asplanchna,NA
NLA06608-0010,2,Bdelloidea,1,NA,NA
NLA06608-0010,2,Euchlanis,4,Euchlanis,NA
NLA06608-0010,2,Gastropus,3,Gastropus,NA
NLA06608-0010,2,Kellicottia bostoniensis,64,Kellicottia,bostonensis
NLA06608-0010,2,Kellicottia longispina,2,Kellicottia,longispina
NLA06608-0010,2,Keratella cceo,65,Keratella,cceo
NLA06608-0010,2,Mytilina,2,Mytilina,NA
NLA06608-0010,2,Platyias,1,Platyias,NA
NLA06608-0010,2,Polyarthra,34,Polyarthra,NA
NLA06608-0010,2,Pompholyx,2,Pompholyx,sulcata
NLA06608-0010,2,Trichocerca,2,Trichocerca,NA
NLA06608-0010,2,Anuraeopsis,2,Anuraeopsis,fissa
NLA06608-0010,2,Asplanchna,4,Asplanchna,NA
NLA06608-0010,2,Conochilidae,1,NA,NA
NLA06608-0010,2,Dreissena polymorpha,2,Dreissena,polymorpha
NLA06608-0010,2,Kellicottia bostoniensis,73,Kellicottia,bostonensis
NLA06608-0010,2,Kellicottia longispina,1,Kellicottia,longispina
NLA06608-0010,2,Keratella cceo,35,Keratella,cceo
NLA06608-0010,2,Keratella cceo,12,Keratella,cceo
NLA06608-0010,2,Ploesoma,5,Ploesoma,NA
NLA06608-0010,2,Polyarthra,25,Polyarthra,NA
NLA06608-0012,1,Bosmina,5,Bosmina,NA
NLA06608-0012,1,Ceriodaphnia,40,Ceriodaphnia,NA
NLA06608-0012,1,Chydoridae,2,NA,NA
NLA06608-0012,1,Cyclopidae,37,Mesocyclops,NA
NLA06608-0012,1,Daphnia ambigua,5,Daphnia,ambigua
NLA06608-0012,1,Daphnia parvula,95,Daphnia,parvula
NLA06608-0012,1,Diaphanosoma,56,Diaphanosoma,NA
NLA06608-0012,1,Diaptomidae,100,NA,NA
NLA06608-0012,1,Asplanchna,18,Asplanchna,NA
NLA06608-0012,1,Brachionus angularis,12,Brachionus,angularis
NLA06608-0012,1,Brachionus caudatus,17,Brachionus,caudatus
NLA06608-0012,1,Conochilidae,54,NA,NA
NLA06608-0012,1,Filinia,3,Filinia,NA
NLA06608-0012,1,Hexarthra,5,Hexarthra,mira
NLA06608-0012,1,Keratella cceo,3,Keratella,cceo
NLA06608-0012,1,Keratella cceo,17,Keratella,cceo
NLA06608-0012,1,Lecanidae,1,Lecane,NA
NLA06608-0012,1,Polyarthra,2,Polyarthra,NA
NLA06608-0012,1,Trichocerca,3,Trichocerca,NA
NLA06608-0012,2,Acari,1,NA,NA
NLA06608-0012,2,Bosmina,1,Bosmina,NA
NLA06608-0012,2,Ceriodaphnia,8,Ceriodaphnia,NA
NLA06608-0012,2,Cyclopidae,1,Mesocyclops,NA
NLA06608-0012,2,Daphnia parvula,50,Daphnia,parvula
NLA06608-0012,2,Diaphanosoma,26,Diaphanosoma,NA
NLA06608-0012,2,Diaptomidae,84,NA,NA
NLA06608-0012,2,Brachionus angularis,3,Brachionus,angularis
NLA06608-0012,2,Brachionus calyciflorus,3,Brachionus,calyciflorus
NLA06608-0012,2,Brachionus caudatus,5,Brachionus,caudatus
NLA06608-0012,2,Brachionus havanaensis,1,Brachionus,havanaensis
NLA06608-0012,2,Brachionus quadridentatus,1,Brachionus,quadridentatus
NLA06608-0012,2,Conochilidae,186,NA,NA
NLA06608-0012,2,Filinia,1,Filinia,NA
NLA06608-0012,2,Hexarthra,1,Hexarthra,mira
NLA06608-0012,2,Kellicottia bostoniensis,1,Kellicottia,bostonensis
NLA06608-0012,2,Keratella cceo,1,Keratella,cceo
NLA06608-0012,2,Lecanidae,1,Monostyla,NA
NLA06608-0012,2,Synchaeta,1,Synchaeta,NA
NLA06608-0013,1,Bosmina,1,Bosmina,NA
NLA06608-0013,1,Cyclopidae,7,NA,NA
NLA06608-0013,1,Daphnia ambigua,56,Daphnia,ambigua
NLA06608-0013,1,Diaphanosoma,9,Diaphanosoma,NA
NLA06608-0013,1,Brachionus havanaensis,1,Brachionus,havanaensis
NLA06608-0013,1,Conochilidae,1,NA,NA
NLA06608-0013,1,Gastropus,1,Gastropus,NA
NLA06608-0013,1,Keratella cceo,46,Keratella,cceo
NLA06608-0013,1,Keratella cceo,5,Keratella,cceo
NLA06608-0013,1,Ploesoma,8,Ploesoma,NA
NLA06608-0013,1,Polyarthra,23,Polyarthra,NA
NLA06608-0013,1,Synchaeta,4,Synchaeta,NA
NLA06608-0013,1,Trichocerca,4,Trichocerca,NA
NLA06608-0013,2,Bosmina,4,Bosmina,NA
NLA06608-0013,2,Ceriodaphnia,30,Ceriodaphnia,NA
NLA06608-0013,2,Chydoridae,1,NA,NA
NLA06608-0013,2,Cyclopidae,8,NA,NA
NLA06608-0013,2,Daphnia ambigua,93,Daphnia,ambigua
NLA06608-0013,2,Daphnia mendotae complex,9,Daphnia,mendotae
NLA06608-0013,2,Diaphanosoma,9,Diaphanosoma,NA
NLA06608-0013,2,Diaptomidae,1,NA,NA
NLA06608-0013,2,Bosmina,3,Bosmina,NA
NLA06608-0013,2,Ceriodaphnia,8,Ceriodaphnia,NA
NLA06608-0013,2,Cyclopidae,8,NA,NA
NLA06608-0013,2,Daphnia ambigua,17,Daphnia,ambigua
NLA06608-0013,2,Diaptomidae,1,NA,NA
NLA06608-0013,2,Asplanchna,4,Asplanchna,NA
NLA06608-0013,2,Brachionus angularis,1,Brachionus,angularis
NLA06608-0013,2,Brachionus forficula,1,Brachionus,forficula
NLA06608-0013,2,Collotheca,1,Collotheca,NA
NLA06608-0013,2,Conochilidae,24,NA,NA
NLA06608-0013,2,Filinia,1,Filinia,NA
NLA06608-0013,2,Gastropus,1,Gastropus,NA
NLA06608-0013,2,Kellicottia bostoniensis,6,Kellicottia,bostonensis
NLA06608-0013,2,Kellicottia longispina,10,Kellicottia,longispina
NLA06608-0013,2,Keratella cceo,9,Keratella,cceo
NLA06608-0013,2,Keratella cceo,70,Keratella,cceo
NLA06608-0013,2,Keratella hiemalis,4,Keratella,hiemalis
NLA06608-0013,2,Keratella taurocephala,8,Keratella,taurocephala
NLA06608-0013,2,Keratella testudo,1,Keratella,testudo
NLA06608-0013,2,Ploesoma,1,Ploesoma,NA
NLA06608-0013,2,Polyarthra,52,Polyarthra,NA
NLA06608-0013,2,Synchaeta,2,Synchaeta,NA
NLA06608-0013,2,Trichocerca,6,Trichocerca,NA
NLA06608-0013,2,Conochilidae,20,NA,NA
NLA06608-0013,2,Hexarthra,23,Hexarthra,mira
NLA06608-0013,2,Kellicottia bostoniensis,22,Kellicottia,bostonensis
NLA06608-0013,2,Keratella cceo,48,Keratella,cceo
NLA06608-0013,2,Keratella cceo,1,Keratella,cceo
NLA06608-0013,2,Ploesoma,8,Ploesoma,NA
NLA06608-0013,2,Polyarthra,89,Polyarthra,NA
NLA06608-0013,2,Trichocerca,1,Trichocerca,NA
NLA06608-0014,1,Diaptomidae,277,NA,NA
NLA06608-0014,1,Hesperodiaptomus,4,Hesperodiaptomus,NA
NLA06608-0014,1,Brachionus caudatus,1,Brachionus,caudatus
NLA06608-0014,1,Brachionus urceolaris complex,1,Brachionus,urceolaris
NLA06608-0014,1,Conochilidae,12,NA,NA
NLA06608-0014,1,Keratella cceo,1,Keratella,cceo
NLA06608-0014,1,Keratella quadrata,4,Keratella,quadrata
NLA06608-0014,1,Lecanidae,12,Lecane,NA
NLA06608-0014,2,UNID,1,NA,NA
NLA06608-0014,2,Ceriodaphnia,1,Ceriodaphnia,NA
NLA06608-0014,2,Diaptomidae,79,NA,NA
NLA06608-0014,2,Hesperodiaptomus,1,Hesperodiaptomus,NA
NLA06608-0014,2,Cyclopidae,1,NA,NA
NLA06608-0014,2,Daphnia,2,Daphnia,NA
NLA06608-0014,2,Diaptomidae,124,NA,NA
NLA06608-0014,2,Hesperodiaptomus,9,Hesperodiaptomus,NA
NLA06608-0014,2,Brachionus caudatus,1,Brachionus,caudatus
NLA06608-0014,2,Brachionus urceolaris complex,1,Brachionus,rubens
NLA06608-0014,2,Brachionus urceolaris complex,8,Brachionus,urceolaris
NLA06608-0014,2,Lecanidae,1,Lecane,NA
NLA06608-0014,2,Brachionus angularis,1,Brachionus,angularis
NLA06608-0014,2,Brachionus calyciflorus,3,Brachionus,calyciflorus
NLA06608-0014,2,Brachionus caudatus,1,Brachionus,caudatus
NLA06608-0014,2,Brachionus urceolaris complex,1,Brachionus,urceolaris
NLA06608-0014,2,Conochilidae,2,NA,NA
NLA06608-0014,2,Filinia,1,Filinia,NA
NLA06608-0014,2,Gastropus,1,Gastropus,NA
NLA06608-0014,2,Keratella quadrata,3,Keratella,quadrata
NLA06608-0014,2,Notholca,2,Notholca,NA
NLA06608-0015,1,Bosmina,1,Bosmina,NA
NLA06608-0015,1,Ceriodaphnia,1,Ceriodaphnia,NA
NLA06608-0015,1,Cyclopidae,37,Diacyclops,NA
NLA06608-0015,1,Daphnia,8,Daphnia,NA
NLA06608-0015,1,Daphnia catawba/pulex complex,10,Daphnia,pulex
NLA06608-0015,1,Daphnia parvula,10,Daphnia,parvula
NLA06608-0015,1,Diaphanosoma,9,Diaphanosoma,NA
NLA06608-0015,1,Diaptomidae,17,NA,NA
NLA06608-0015,1,Asplanchna,7,Asplanchna,NA
NLA06608-0015,1,Brachionus calyciflorus,1,Brachionus,calyciflorus
NLA06608-0015,1,Conochilidae,1,NA,NA
NLA06608-0015,1,Keratella cceo,1,Keratella,cceo
NLA06608-0015,1,Keratella quadrata,227,Keratella,quadrata f. valga
NLA06608-0015,1,Polyarthra,14,Polyarthra,NA
NLA06608-0015,1,Pompholyx,20,Pompholyx,sulcata
NLA06608-0015,1,Synchaeta,23,Synchaeta,NA
NLA06608-0015,2,Bosmina,5,Bosmina,NA
NLA06608-0015,2,Ceriodaphnia,1,Ceriodaphnia,NA
NLA06608-0015,2,Cyclopidae,34,Mesocyclops,NA
NLA06608-0015,2,Daphnia lumholtzi,15,Daphnia,lumholtzi
NLA06608-0015,2,Daphnia retrocurva,103,Daphnia,retrocurva
NLA06608-0015,2,Diaphanosoma,20,Diaphanosoma,NA
NLA06608-0015,2,Diaptomidae,164,NA,NA
NLA06608-0015,2,Bosmina,7,Bosmina,NA
NLA06608-0015,2,Ceriodaphnia,5,Ceriodaphnia,NA
NLA06608-0015,2,Cyclopidae,2,Acanthocyclops,NA
NLA06608-0015,2,Cyclopidae,44,Mesocyclops,NA
NLA06608-0015,2,Daphnia,78,Daphnia,NA
NLA06608-0015,2,Daphnia lumholtzi,35,Daphnia,lumholtzi
NLA06608-0015,2,Daphnia parvula,75,Daphnia,parvula
NLA06608-0015,2,Diaphanosoma,24,Diaphanosoma,NA
NLA06608-0015,2,Diaptomidae,259,NA,NA
